ticker,name,signal_date,price,signal,confidence,reasons,return_5d,return_20d
005930,삼성전자,2023-01-02,55400,Neutral,50,"[""현재가가 52주 최저가에 근접해 있어 기술적 반등 가능성이 있으나, 최근 1개월 수익률 하락 및 거래량 감소는 하방 압력을 시사합니다."", ""PER, PBR 등 재무지표는 저평가 구간에 있음을 나타내지만, 시장 전반의 불확실성이 존재합니다."", ""삼성전자 자체의 펀더멘털보다는 거시 경제 및 반도체 업황의 단기적인 변동성이 20거래일 내 주가 방향성에 더 큰 영향을 미칠 것으로 판단됩니다.""]",9.025270758122744,14.620938628158845
005930,삼성전자,2023-02-01,63500,Buy,75,"[""최근 1개월 수익률이 11.75%로 양호하며, 거래량 변화율도 47.34%로 증가하는 추세는 긍정적인 신호입니다."", ""애널리스트 리포트에서 목표주가가 현재가 대비 상승 여력이 있음을 시사하며, '저점 분할 매수', '고진감래'와 같은 긍정적인 전망이 다수 존재합니다."", ""PER, PBR 지표가 시장 평균 대비 과도하게 높지 않아 밸류에이션 부담이 크지 않으며, ROE 11.2%는 안정적인 수익성을 보여줍니다.""]",-0.7874015748031495,-4.724409448818897
005930,삼성전자,2023-03-02,60500,Buy,70,"[""최근 애널리스트 리포트에서 목표주가가 현재가 대비 상향 조정되었으며, 전반적으로 긍정적인 전망을 제시하고 있습니다."", ""업계 공급 조절 및 감산 계획 관련 언급은 향후 실적 개선에 대한 기대감을 높입니다."", ""현재 주가는 52주 최고가 대비 상당 부분 하락한 상태이며, 52주 최저가 대비로는 높은 위치에 있어 추가 하락보다는 반등 가능성을 시사합니다.""]",-1.6528925619834711,5.785123966942149
005930,삼성전자,2023-04-03,63600,Buy,75,"[""다수 애널리스트 리포트에서 목표주가가 현재가 대비 상승 여력을 시사하고 있으며, 긍정적인 전망을 제시하고 있습니다."", ""최근 1개월 수익률이 4.30%로 양호한 흐름을 보이고 있으며, 거래량 변화율도 긍정적인 신호를 보내고 있습니다."", ""PER 7.8배, PBR 1.05배는 역사적 밸류에이션 대비 저평가 구간에 있다는 분석이 가능하며, ROE 13.4%는 견조한 수익성을 나타냅니다.""]",3.6163522012578615,2.8301886792452837
005930,삼성전자,2023-05-02,65400,Buy,75,"[""최근 1개월 수익률이 2.66%로 긍정적인 흐름을 보이고 있으며, 거래량 변화율도 18.24%로 증가 추세입니다."", ""애널리스트 리포트에서 제시된 목표주가들이 현재가(65,400원) 대비 상승 여력이 충분하며, 전반적으로 긍정적인 전망을 유지하고 있습니다."", ""52주 최고가 대비 현재 위치가 84.5%로, 상승 추세가 이어질 경우 추가적인 상승 가능성이 있습니다.""]",-1.834862385321101,10.397553516819572
005930,삼성전자,2023-06-01,72200,Buy,75,"[""최근 1개월 수익률이 8.24%로 긍정적인 흐름을 보이고 있으며, 52주 최고가에 근접한 위치는 상승 모멘텀을 시사합니다."", ""하반기 DDR5 점유율 회복 예상 리포트는 실적 개선에 대한 기대감을 높여 긍정적인 영향을 줄 수 있습니다."", ""PER 8.8배는 시장 평균 대비 저평가 구간에 있다는 분석이 가능하며, 이는 추가 상승 여력을 시사합니다.""]",-1.662049861495845,1.10803324099723
005930,삼성전자,2023-07-03,73000,Neutral,50,"[""현재가 52주 최고가와 일치하며 기술적으로는 상승 여력이 제한적일 수 있습니다."", ""최근 1개월 수익률은 긍정적이나 거래량 변화율은 감소 추세로 매수세가 약화될 가능성을 시사합니다."", ""애널리스트 리포트에서 목표주가 상향 가능성을 제시했으나, 2분기 실적에 대한 우려도 존재하여 단기적인 방향성 판단이 어렵습니다.""]",-2.054794520547945,-2.602739726027397
005930,삼성전자,2023-08-01,69900,Buy,75,"[""최근 애널리스트 리포트에서 제시된 목표주가 평균이 현재가 대비 상당한 상승 여력을 시사하고 있습니다."", ""52주 최고가 대비 현재 위치가 높아 단기적인 상승 모멘텀이 약화될 수 있으나, 52주 최저가 대비 높은 수준은 여전히 긍정적인 추세를 유지하고 있음을 보여줍니다."", ""최근 1개월 수익률은 소폭 하락했으나, 거래량 변화율이 긍정적으로 나타나 향후 매수세 유입 가능성을 시사합니다.""]",-1.430615164520744,-4.291845493562231
005930,삼성전자,2023-09-01,71200,Neutral,55,"[""삼성전자는 52주 최고가 대비 높은 위치에 있으며, 최근 1개월 수익률은 소폭 상승했으나 거래량은 감소하는 추세를 보이고 있어 단기적인 상승 모멘텀이 강하지 않습니다."", ""PER, PBR 등 재무지표는 시장 평균 대비 매력적인 수준으로 볼 수 있으나, 현재가에서 추가적인 큰 상승을 기대하기에는 부담이 될 수 있습니다."", ""기술적으로는 52주 최고가에 근접한 상황에서 저항을 받을 가능성이 있으며, 시장 전반의 방향성 또한 불확실하여 20거래일 내 뚜렷한 방향성을 예측하기 어렵습니다.""]",-0.5617977528089888,-7.303370786516854
005930,삼성전자,2023-10-04,66700,Buy,75,"[""최근 애널리스트 리포트들은 전반적으로 메모리 반도체 업황 회복과 DRAM 이익 개선을 전망하며 긍정적인 목표주가를 제시하고 있습니다."", ""현재가는 52주 최고가 대비 약 8.7% 하락한 수준으로, 기술적으로는 상승 여력이 남아있다고 판단됩니다."", ""최근 1개월 수익률은 소폭 상승했으며, 거래량 변화율이 32.09%로 증가한 것은 투자 심리 개선 및 매수세 유입 가능성을 시사합니다.""]",1.949025487256372,4.3478260869565215
