ticker,name,signal_date,price,signal,confidence,reasons
005930,삼성전자,2023-01-02,55500,Neutral,42,"[""현재가 55,500원만으로는 20거래일 내 방향성을 판단할 수 있는 추세·모멘텀 정보가 제공되지 않았습니다."", ""재무, 실적, 수급, 기술적 지표 등 향후 주가 방향을 뒷받침할 추가 데이터가 없어 상승·하락 근거를 비교할 수 없습니다."", ""제공된 정보가 종목명, 현재가, 시장 구분에 한정되어 있어 확신 가능한 매수·매도 신호를 도출하기 어렵습니다.""]"
005930,삼성전자,2023-02-01,61800,Neutral,42,"[""현재가 61,800원만으로는 20거래일 내 상승·하락 방향을 판단할 수 있는 추세, 모멘텀, 밸류에이션, 실적 데이터가 제공되지 않았습니다."", ""종목 정보가 삼성전자와 KOSPI, 현재가뿐이라 기술적 지표나 수급 지표에 근거한 매수·매도 우위를 확인할 수 없습니다."", ""제공된 데이터만을 근거로 해야 하므로 방향성을 확신할 수 없어 적극적 중립 판단이 적절합니다.""]"
005930,삼성전자,2023-03-02,60800,Neutral,42,"[""현재가 60,800원만으로는 20거래일 내 상승·하락 방향을 판단할 수 있는 추세, 모멘텀, 밸류에이션 정보가 제공되지 않았습니다."", ""종목 정보에 시장과 가격만 있고 거래량, 실적, 수급, 기술적 지표 등 방향성을 뒷받침할 데이터가 없어 Buy 또는 Sell 근거가 부족합니다."", ""제공된 데이터만 근거로 판단해야 하므로, 상승과 하락 어느 쪽도 우위라고 확신할 수 없어 Neutral이 적절합니다.""]"
005930,삼성전자,2023-04-03,63100,Neutral,42,"[""현재가 63,100원에 대한 추가 기술적·수급·실적 데이터가 제공되지 않아 20거래일 방향성을 판단할 근거가 부족합니다."", ""종목명과 시장 정보만으로는 상승 또는 하락 우위를 뒷받침할 수 있는 정량적 신호를 확인할 수 없습니다."", ""제공된 데이터만을 근거로 해야 하므로, 확신 가능한 매수·매도 판단보다 방향 불명확에 해당하는 Neutral이 적절합니다.""]"
005930,삼성전자,2023-05-02,65700,Neutral,50,"[""현재가 65,700원만으로는 향후 20거래일 방향을 판단할 수 있는 추세·모멘텀 정보가 제공되지 않았습니다."", ""거래량, 이동평균, 수급, 실적, 밸류에이션 등 상승·하락 근거가 되는 핵심 데이터가 없어 Buy 또는 Sell을 단정하기 어렵습니다."", ""제공된 정보가 종목명, 시장, 현재가에 한정되어 있어 방향성이 불명확하므로 Neutral이 가장 적절합니다.""]"
005930,삼성전자,2023-06-01,70900,Neutral,42,"[""제공된 정보가 종목명, 현재가, 시장 구분뿐이라 20거래일 방향성을 판단할 수 있는 가격 추세·거래량·실적·밸류에이션 데이터가 없다."", ""상승과 하락을 가늠할 수 있는 기술적 지표나 수급 지표가 전혀 없어 Buy 또는 Sell 근거를 만들 수 없다."", ""주어진 데이터만으로는 방향성이 불명확하므로 적극적 판단으로는 Neutral이 가장 적절하다.""]"
005930,삼성전자,2023-07-03,73000,Neutral,42,"[""현재가 73,000원만으로는 향후 20거래일 방향을 판단할 수 있는 추세·모멘텀 정보가 제공되지 않았습니다."", ""매출, 이익, 밸류에이션, 수급, 기술적 지표 등 상승 또는 하락을 뒷받침할 추가 데이터가 없어 근거가 부족합니다."", ""제공된 정보가 종목명, 시장, 현재가에 한정되어 있어 Buy와 Sell 중 어느 쪽도 우위라고 보기 어렵습니다.""]"
005930,삼성전자,2023-08-01,71100,Neutral,41,"[""현재가 71,100원만으로는 향후 20거래일 방향성을 판단할 수 있는 추세·모멘텀 정보가 제공되지 않았습니다."", ""재무, 실적, 수급, 거래량, 기술적 지표 등 상승 또는 하락을 지지하는 추가 데이터가 없어 Buy 또는 Sell 근거가 부족합니다."", ""제공된 정보가 종목명, 현재가, 시장 구분에 한정되어 있어 상승·하락 근거가 균형을 이루기보다 방향성 자체를 확신할 수 없습니다.""]"
005930,삼성전자,2023-09-01,71000,Neutral,50,"[""현재가 71,000원만 제시되어 있어 20거래일 방향을 판단할 수 있는 추세, 모멘텀, 변동성 데이터가 부족합니다."", ""기업 실적, 수급, 기술적 지표 등 상승·하락 근거가 제공되지 않아 Buy 또는 Sell을 우선할 만한 정보가 없습니다."", ""제공된 데이터만으로는 상승과 하락 가능성을 균형 있게 배제할 수 없어 방향성 확신이 어렵습니다.""]"
005930,삼성전자,2023-10-04,67500,Neutral,50,"[""현재가 67,500원만으로는 향후 20거래일 방향을 판단할 수 있는 추세·모멘텀 정보가 제공되지 않았습니다."", ""거래량, 이동평균, 실적, 수급, 변동성 등 방향성을 뒷받침할 추가 데이터가 없어 상승·하락 근거를 비교할 수 없습니다."", ""제공된 데이터만을 근거로 하면 확신 가능한 우위가 없으므로 적극적 판단은 Neutral이 적절합니다.""]"
